Match_year;home_team;away_team
2023;Australia;Republic of Ireland
2023;Nigeria;Canada
2023;Canada;Republic of Ireland
2023;Australia;Nigeria
2023;Canada;Australia
2023;Republic of Ireland;Nigeria
